Note that the DS10 IMU data seems to have failed near the end of the recording.

Roll [rad]	Pitch [rad]	Delta t [s]
-0.0253599	0.0970839	0.312974
-0.0286324	0.0959931	0.305126
-0.0297232	0.0959931	0.330194
-0.0286324	0.0992656	0.303607
-0.024269	0.101447	0.300466
-0.0231782	0.102538	0.289955
-0.0209966	0.103629	0.29901
-0.0209966	0.103629	0.297163
-0.0297232	0.101447	0.306047
-0.0362682	0.0992656	0.315824
-0.0406315	0.0981748	0.306458
-0.0406315	0.0981748	0.313639
-0.037359	0.102538	0.307913
-0.0319049	0.103629	0.30192
-0.0275415	0.101447	0.30113
-0.0264507	0.101447	0.293239
-0.0264507	0.101447	0.31058
-0.0275415	0.0981748	0.311233
-0.0286324	0.0992656	0.321927
-0.0297232	0.102538	0.300756
-0.0329957	0.102538	0.302868
-0.037359	0.103629	0.322741
-0.0406315	0.10472	0.301926
-0.0406315	0.10472	0.298349
-0.0395407	0.102538	0.311045
-0.0329957	0.0992656	0.328041
-0.0297232	0.0992656	0.333073
-0.0297232	0.0981748	0.343827
-0.0340865	0.0992656	0.314613
-0.0329957	0.100356	0.309776
-0.0351774	0.100356	0.317109
-0.0406315	0.0981748	0.346837
-0.0406315	0.0981748	0.312489
-0.0406315	0.0981748	0.305321
0.027	0	0.357937
0.027	0	0.354247
0.027	0	0.368491
0.027	0	0.354852
0.027	0	0.362042
0.027	0	0.348392
0.027	0	0.342372
0.027	0	0.355938
0.027	0	0.331477
0.027	0	0.379666
0.027	0	0.347484
0.027	0	0.367538
0.027	0	0.350831
0.027	0	0.335587
0.027	0	0.341355
0.027	0	0.347676
0.027	0	0.357072
0.027	0	0.336329
0.027	0	0.362246
0.027	0	0.346548
0.027	0	0.352516
0.027	0	0.342688
0.027	0	0.343717
0.027	0	0.362525
0.027	0	0.370702
0.027	0	0.345502
0.027	0	0.363852
0.027	0	0.653953
0.027	0	0.359161
0.027	0	0.327899
0.027	0	0.349602
0.027	0	0.347468
0.027	0	0.363003
0.027	0	0.367431
0.027	0	0.371755
0.027	0	0.362277
0.027	0	0.343781
0.027	0	0.326409
0.027	0	0.346225
0.027	0	0.337021
0.027	0	0.376512
0.027	0	0.338351
0.027	0	0.358008
0.027	0	0.376915
0.027	0	0.431653
